"","gid","title","subtype","label","src","date"
"23","A/Canada/rv504/2004C","A/Canada/rv504/2004","H7N3","zoon","NCBI",2004-05-11
"24","A/Changsha/1/2013K","A/Changsha/1/2013","H7N9","zoon","NCBI",2013-03-22
"25","A/Changsha/1/2014K","A/Changsha/1/2014","H5N6","zoon","NCBI",2014-02-23
"26","A/Changsha/2/2013K","A/Changsha/2/2013","H7N9","zoon","NCBI",2013-04-29
"27","A/Changsha/26/2017M","A/Changsha/26/2017","H7N9","zoon","NCBI",2017-02-04
"28","A/Changsha/34/2017M","A/Changsha/34/2017","H7N9","zoon","NCBI",2017-02-13
"29","A/Changsha/41/2017M","A/Changsha/41/2017","H7N9","zoon","NCBI",2017-03-12
"30","A/Changsha/44/2017M","A/Changsha/44/2017","H7N9","zoon","NCBI",2017-03-14
"31","A/China/1/2013O","A/China/1/2013","H7N9","zoon","NCBI",2013-03-15
"32","A/China/A_Szuhou_GIRD01_2019/2019M","A/China/A_Szuhou_GIRD01_2019/2019","H9N2","zoon","NCBI",2019-03-15
"33","A/China/CSKFQ-22-5/2022O","A/China/CSKFQ-22-5/2022","H3N8","zoon","NCBI",2022-05-15
"34","A/China/GD01/2006D","A/China/GD01/2006","H5N1","zoon","NCBI",2006-06-15
"35","A/China/GD02/2006E","A/China/GD02/2006","H5N1","zoon","NCBI",2006-06-15
"36","A/China/Original/2018M","A/China/Original/2018","H5N6","zoon","NCBI",2018-11-06
"37","A/China/ZMD-22-2/2022O","A/China/ZMD-22-2/2022","H3N8","zoon","NCBI",2022-04-15
"38","A/Egypt/MOH-NRC-7271/2014K","A/Egypt/MOH-NRC-7271/2014","H5N1","zoon","NCBI",2014-11-26
"39","A/Egypt/MOH-NRC-7305/2014K","A/Egypt/MOH-NRC-7305/2014","H5N1","zoon","NCBI",2014-11-28
"40","A/Egypt/MOH-NRC-8434/2014K","A/Egypt/MOH-NRC-8434/2014","H5N1","zoon","NCBI",2014-12-27
"41","A/Fujian/S03/2015K","A/Fujian/S03/2015","H7N9","zoon","NCBI",2015-01-23
"42","A/Guangdong/1/2013K","A/Guangdong/1/2013","H7N9","zoon","NCBI",2013-08-10
"43","A/Guangdong/6/2013K","A/Guangdong/6/2013","H7N9","zoon","NCBI",2013-10-15
"44","A/Guangdong/GZ8H001/2017M","A/Guangdong/GZ8H001/2017","H7N9","zoon","NCBI",2017-01-15
"45","A/Guangdong/GZ8H002/2017M","A/Guangdong/GZ8H002/2017","H7N9","zoon","NCBI",2017-03-15
"46","A/Guangdong/HP001/2017K","A/Guangdong/HP001/2017","H7N9","zoon","NCBI",2017-01-04
"47","A/Guangdong/lgf/2021O","A/Guangdong/lgf/2021","H5N6","zoon","NCBI",2021-09-19
"48","A/Guangdong/MZ058/2016K","A/Guangdong/MZ058/2016","H9N2","zoon","NCBI",2016-06-15
"49","A/Guangdong/SP440/2017K","A/Guangdong/SP440/2017","H7N9","zoon","NCBI",2017-01-04
"50","A/Guangdong/W1/2004K","A/Guangdong/W1/2004","H9N2","zoon","NCBI",2004-06-20
"51","A/Guangxi/1/2005H","A/Guangxi/1/2005","H5N1","zoon","NCBI",2005-06-15
"52","A/Guangzhou/39715/2014K","A/Guangzhou/39715/2014","H5N6","zoon","NCBI",2014-12-11
"53","A/Hangzhou/1/2013K","A/Hangzhou/1/2013","H7N9","zoon","NCBI",2013-03-24
"54","A/Hong_Kong/1073/99A","A/Hong_Kong/1073/99","H9N2","zoon","NCBI",1999-06-15
"55","A/Hong_Kong/213/2003A","A/Hong_Kong/213/2003","H5N1","zoon","NCBI",2003-06-15
"56","A/Hong_Kong/33982/2009K","A/Hong_Kong/33982/2009","H9N2","zoon","NCBI",2009-06-15
"57","A/Huai'an/001/2015K","A/Huai'an/001/2015","H7N9","zoon","NCBI",2015-01-23
"58","A/Huai'an/002/2015K","A/Huai'an/002/2015","H7N9","zoon","NCBI",2015-02-03
"59","A/Huai'an/062/2014K","A/Huai'an/062/2014","H7N9","zoon","NCBI",2014-02-14
"60","A/Huai'an/065/2014K","A/Huai'an/065/2014","H7N9","zoon","NCBI",2014-02-24
"61","A/Huai'an/074/2014K","A/Huai'an/074/2014","H7N9","zoon","NCBI",2014-03-02
"62","A/Huai'an/083/2014K","A/Huai'an/083/2014","H7N9","zoon","NCBI",2014-05-27
"63","A/Hubei/1/2010C","A/Hubei/1/2010","H5N1","zoon","NCBI",2010-05-21
"64","A/Huizhou/01/2013K","A/Huizhou/01/2013","H7N9","zoon","NCBI",2013-08-08
"65","A/Hunan/44557/2015K","A/Hunan/44557/2015","H9N2","zoon","NCBI",2015-11-30
"66","A/Indonesia/5/2005C","A/Indonesia/5/2005","H5N1","zoon","NCBI",2005-06-15
"67","A/Indonesia/CDC523/2006C","A/Indonesia/CDC523/2006","H5N1","zoon","NCBI",2006-03-23
"68","A/Indonesia/CDC594/2006C","A/Indonesia/CDC594/2006","H5N1","zoon","NCBI",2006-05-09
"69","A/Indonesia/CDC595/2006C","A/Indonesia/CDC595/2006","H5N1","zoon","NCBI",2006-05-09
"70","A/Indonesia/CDC596/2006C","A/Indonesia/CDC596/2006","H5N1","zoon","NCBI",2006-05-10
"71","A/Indonesia/CDC597/2006C","A/Indonesia/CDC597/2006","H5N1","zoon","NCBI",2006-05-10
"72","A/Indonesia/CDC625L/2006C","A/Indonesia/CDC625L/2006","H5N1","zoon","NCBI",2006-05-22
"73","A/Indonesia/CDC669/2006C","A/Indonesia/CDC669/2006","H5N1","zoon","NCBI",2006-06-13
"74","A/Indonesia/CDC669P/2006C","A/Indonesia/CDC669P/2006","H5N1","zoon","NCBI",2006-06-13
"75","A/Indonesia/CDC699/2006C","A/Indonesia/CDC699/2006","H5N1","zoon","NCBI",2006-07-06
"76","A/Indonesia/CDC739/2006C","A/Indonesia/CDC739/2006","H5N1","zoon","NCBI",2006-08-05
"77","A/Indonesia/CDC759/2006C","A/Indonesia/CDC759/2006","H5N1","zoon","NCBI",2006-06-15
"78","A/Indonesia/CDC835/2006C","A/Indonesia/CDC835/2006","H5N1","zoon","NCBI",2006-09-22
"79","A/Indonesia/CDC836/2006C","A/Indonesia/CDC836/2006","H5N1","zoon","NCBI",2006-09-24
"80","A/Indonesia/CDC836T/2006C","A/Indonesia/CDC836T/2006","H5N1","zoon","NCBI",2006-09-24
"81","A/Indonesia/CDC887/2006C","A/Indonesia/CDC887/2006","H5N1","zoon","NCBI",2006-10-14
"82","A/Indonesia/CDC938/2006C","A/Indonesia/CDC938/2006","H5N1","zoon","NCBI",2006-11-10
"83","A/Indonesia/CDC940/2006C","A/Indonesia/CDC940/2006","H5N1","zoon","NCBI",2006-11-12
"84","A/Indonesia/UT3006/2005J","A/Indonesia/UT3006/2005","H5N1","zoon","NCBI",2005-06-15
"85","A/Italy/3/2013K","A/Italy/3/2013","H7N7","zoon","NCBI",2013-09-07
"86","A/Jiangsu/1/2007E","A/Jiangsu/1/2007","H5N1","zoon","NCBI",2007-06-15
"87","A/Jiangsu/1/2013K_A","A/Jiangsu/1/2013","H7N9","zoon","NCBI",2013-04-20
"88","A/Jiangsu/1/2013K_B","A/Jiangsu/1/2013","H7N9","zoon","NCBI",2013-04-20
"89","A/Jiangsu/1/2018M","A/Jiangsu/1/2018","H7N4","zoon","NCBI",2018-01-06
"90","A/Jiangsu/2/2007E","A/Jiangsu/2/2007","H5N1","zoon","NCBI",2007-06-15
"91","A/Jiangsu/2/2013K","A/Jiangsu/2/2013","H7N9","zoon","NCBI",2013-04-20
"92","A/Jiangxi/IPB13/2013K","A/Jiangxi/IPB13/2013","H10N8","zoon","NCBI",2013-12-04
"93","A/Jiangxi/IPB13b/2013K","A/Jiangxi/IPB13b/2013","H10N8","zoon","NCBI",2013-12-17
"94","A/Kunming/KMCDC-YHY/2017M","A/Kunming/KMCDC-YHY/2017","H7N9","zoon","NCBI",2017-03-02
"95","A/Lengshuitan/11197/2013K","A/Lengshuitan/11197/2013","H9N2","zoon","NCBI",2013-11-20
"96","A/Mexico/InDRE7218/2012C","A/Mexico/InDRE7218/2012","H7N3","zoon","NCBI",2012-07-09
"97","A/Minhang/S01/2013K","A/Minhang/S01/2013","H7N9","zoon","NCBI",2013-02-27
"98","A/Nanchang/1/2013K","A/Nanchang/1/2013","H7N9","zoon","NCBI",2013-04-24
"99","A/Nanjing/1/2015M","A/Nanjing/1/2015","H5N1","zoon","NCBI",2015-01-21
"100","A/Nanjing/2/2013K","A/Nanjing/2/2013","H7N9","zoon","NCBI",2013-04-05
"101","A/Nanjing/4/2013K","A/Nanjing/4/2013","H7N9","zoon","NCBI",2013-04-07
"102","A/Nanjing/6/2013K","A/Nanjing/6/2013","H7N9","zoon","NCBI",2013-04-11
"103","A/Nanjing/7/2013K","A/Nanjing/7/2013","H7N9","zoon","NCBI",2013-04-13
"104","A/Qingyuan/GIRD01/2017K","A/Qingyuan/GIRD01/2017","H7N9","zoon","NCBI",2017-01-14
"105","A/Quzhou/1/2015K","A/Quzhou/1/2015","H7N9","zoon","NCBI",2015-04-25
"106","A/Quzhou/2/2015K","A/Quzhou/2/2015","H7N9","zoon","NCBI",2015-04-23
"107","A/Shanghai/01/2014K","A/Shanghai/01/2014","H7N9","zoon","NCBI",2014-01-03
"108","A/Shanghai/02/2013K","A/Shanghai/02/2013","H7N9","zoon","NCBI",2013-03-05
"109","A/Shanghai/1/2006A","A/Shanghai/1/2006","H5N1","zoon","NCBI",2006-06-15
"110","A/Shanghai/5190T/2013K","A/Shanghai/5190T/2013","H7N9","zoon","NCBI",2013-05-15
"111","A/Shanghai/CN02/2013K","A/Shanghai/CN02/2013","H7N9","zoon","NCBI",2013-04-02
"112","A/Shanghai/ION/2013K","A/Shanghai/ION/2013","H7N9","zoon","NCBI",2013-04-04
"113","A/Shanghai/JS01/2013K","A/Shanghai/JS01/2013","H7N9","zoon","NCBI",2013-04-03
"114","A/Shanghai/MH01/2013K","A/Shanghai/MH01/2013","H7N9","zoon","NCBI",2013-04-17
"115","A/Shanghai/Mix1/2014K","A/Shanghai/Mix1/2014","H7N9","zoon","NCBI",2014-01-03
"116","A/Shanghai/PD-01/2014K","A/Shanghai/PD-01/2014","H7N9","zoon","NCBI",2014-01-17
"117","A/Shanghai/PD-02/2014K","A/Shanghai/PD-02/2014","H7N9","zoon","NCBI",2014-01-17
"118","A/Shenzhen/SP-W1/2014K","A/Shenzhen/SP-W1/2014","H7N9","zoon","NCBI",2014-01-14
"119","A/Shenzhen/SP-Z93/2014K","A/Shenzhen/SP-Z93/2014","H7N9","zoon","NCBI",2014-01-11
"120","A/Shenzhen/SP113/2014K","A/Shenzhen/SP113/2014","H7N9","zoon","NCBI",2014-03-12
"121","A/Shenzhen/SP116/2014K","A/Shenzhen/SP116/2014","H7N9","zoon","NCBI",2014-03-15
"122","A/Shenzhen/SP118/2014K","A/Shenzhen/SP118/2014","H7N9","zoon","NCBI",2014-03-18
"123","A/Shenzhen/SP126/2014K","A/Shenzhen/SP126/2014","H7N9","zoon","NCBI",2014-03-23
"124","A/Shenzhen/SP139/2014K","A/Shenzhen/SP139/2014","H7N9","zoon","NCBI",2014-04-02
"125","A/Shenzhen/SP16/2014K","A/Shenzhen/SP16/2014","H7N9","zoon","NCBI",2014-01-18
"126","A/Shenzhen/SP17/2014K","A/Shenzhen/SP17/2014","H7N9","zoon","NCBI",2014-01-20
"127","A/Shenzhen/SP26/2014K","A/Shenzhen/SP26/2014","H7N9","zoon","NCBI",2014-01-20
"128","A/Shenzhen/SP38/2014K","A/Shenzhen/SP38/2014","H7N9","zoon","NCBI",2014-01-22
"129","A/Shenzhen/SP44/2014K","A/Shenzhen/SP44/2014","H7N9","zoon","NCBI",2014-01-23
"130","A/Shenzhen/SP48/2014K","A/Shenzhen/SP48/2014","H7N9","zoon","NCBI",2014-01-23
"131","A/Shenzhen/SP49/2014K","A/Shenzhen/SP49/2014","H7N9","zoon","NCBI",2014-01-25
"132","A/Shenzhen/SP58/2014K","A/Shenzhen/SP58/2014","H7N9","zoon","NCBI",2014-01-25
"133","A/Shenzhen/SP60/2014K","A/Shenzhen/SP60/2014","H7N9","zoon","NCBI",2014-01-30
"134","A/Shenzhen/SP62/2014K","A/Shenzhen/SP62/2014","H7N9","zoon","NCBI",2014-02-05
"135","A/Shenzhen/SP75/2014K","A/Shenzhen/SP75/2014","H7N9","zoon","NCBI",2014-02-15
"136","A/Suzhou/3/2013K","A/Suzhou/3/2013","H7N9","zoon","NCBI",2013-04-09
"137","A/Suzhou/5/2013K","A/Suzhou/5/2013","H7N9","zoon","NCBI",2013-04-12
"138","A/Taiwan/4-CGMH1/2014K","A/Taiwan/4-CGMH1/2014","H7N9","zoon","NCBI",2014-04-24
"139","A/Taiwan/4-CGMH2/2014K","A/Taiwan/4-CGMH2/2014","H7N9","zoon","NCBI",2014-04-24
"140","A/Thailand/1(KAN-1)/2004C","A/Thailand/1(KAN-1)/2004","H5N1","zoon","NCBI",2004-06-15
"141","A/Thailand/16/2004E","A/Thailand/16/2004","H5N1","zoon","NCBI",2004-06-15
"142","A/Thailand/2(SP-33)/2004A","A/Thailand/2(SP-33)/2004","H5N1","zoon","NCBI",2004-06-15
"143","A/Thailand/676/2005D","A/Thailand/676/2005","H5N1","zoon","NCBI",2005-06-15
"144","A/Thailand/NBL1/2006K_A","A/Thailand/NBL1/2006","H5N1","zoon","NCBI",2006-08-10
"145","A/Thailand/NBL1/2006K_B","A/Thailand/NBL1/2006","H5N1","zoon","NCBI",2006-08-10
"146","A/Thailand/NBL1/2006M_A","A/Thailand/NBL1/2006","H5N1","zoon","NCBI",2006-08-10
"147","A/Thailand/NBL1/2006M_B","A/Thailand/NBL1/2006","H5N1","zoon","NCBI",2006-08-10
"148","A/Thailand/NBL1/2006M_C","A/Thailand/NBL1/2006","H5N1","zoon","NCBI",2006-08-10
"149","A/Thailand/NBL1/2006M_D","A/Thailand/NBL1/2006","H5N1","zoon","NCBI",2006-08-10
"150","A/Viet_Nam/1203/2004A","A/Viet_Nam/1203/2004","H5N1","zoon","NCBI",2004-06-15
"151","A/Viet_Nam/1203/2004H","A/Viet_Nam/1203/2004","H5N1","zoon","NCBI",2004-06-15
"152","A/Viet_Nam/CM32/2011K","A/Viet_Nam/CM32/2011","H5N1","zoon","NCBI",2011-10-19
"153","A/Vietnam/HN31388M1/2007H","A/Vietnam/HN31388M1/2007","H5N1","zoon","NCBI",2007-12-14
"154","A/Vietnam/HN31432M/2008H","A/Vietnam/HN31432M/2008","H5N1","zoon","NCBI",2008-02-21
"155","A/Vietnam/UT31203A/2007H","A/Vietnam/UT31203A/2007","H5N1","zoon","NCBI",2007-05-19
"156","A/Vietnam/UT31239/2007H","A/Vietnam/UT31239/2007","H5N1","zoon","NCBI",2007-06-15
"157","A/Vietnam/UT31244II/2007H","A/Vietnam/UT31244II/2007","H5N1","zoon","NCBI",2007-06-09
"158","A/Vietnam/UT31244III/2007H","A/Vietnam/UT31244III/2007","H5N1","zoon","NCBI",2007-06-19
"159","A/Vietnam/UT31412II/2008H","A/Vietnam/UT31412II/2008","H5N1","zoon","NCBI",2008-02-09
"160","A/Vietnam/UT31413II/2008H","A/Vietnam/UT31413II/2008","H5N1","zoon","NCBI",2008-02-13
"161","A/Vietnam/UT31641-2/2008K","A/Vietnam/UT31641-2/2008","H5N1","zoon","NCBI",2008-12-19
"162","A/Vietnam/UT36236/2010K","A/Vietnam/UT36236/2010","H5N1","zoon","NCBI",2010-02-20
"163","A/Vietnam/UT36250-1/2010K","A/Vietnam/UT36250-1/2010","H5N1","zoon","NCBI",2010-03-05
"164","A/Vietnam/UT36282/2010K","A/Vietnam/UT36282/2010","H5N1","zoon","NCBI",2010-03-27
"165","A/wuhu/1/2014M","A/wuhu/1/2014","H7N9","zoon","NCBI",2014-02-19
"166","A/WuXi/0126/2014M","A/WuXi/0126/2014","H7N9","zoon","NCBI",2014-01-26
"167","A/WuXi/0213/2016M","A/WuXi/0213/2016","H7N9","zoon","NCBI",2016-01-13
"168","A/WuXi/0219/2016M","A/WuXi/0219/2016","H7N9","zoon","NCBI",2016-02-19
"169","A/WuXi/0317/2014M","A/WuXi/0317/2014","H7N9","zoon","NCBI",2014-03-17
"170","A/WuXi/0402/2013M","A/WuXi/0402/2013","H7N9","zoon","NCBI",2013-04-02
"171","A/WuXi/0409/2014M","A/WuXi/0409/2014","H7N9","zoon","NCBI",2014-04-09
"172","A/WuXi/0410/2014M","A/WuXi/0410/2014","H7N9","zoon","NCBI",2014-04-10
"173","A/WuXi/0423/2014M","A/WuXi/0423/2014","H7N9","zoon","NCBI",2014-04-23
"174","A/WuXi/0506/2015M","A/WuXi/0506/2015","H7N9","zoon","NCBI",2015-05-06
"175","A/Wuxi/1/2013K","A/Wuxi/1/2013","H7N9","zoon","NCBI",2013-03-31
"176","A/Wuxi/2/2013K","A/Wuxi/2/2013","H7N9","zoon","NCBI",2013-03-31
"177","A/Wuxi/3/2013K","A/Wuxi/3/2013","H7N9","zoon","NCBI",2013-04-07
"178","A/Wuxi/4/2013K","A/Wuxi/4/2013","H7N9","zoon","NCBI",2013-04-07
"179","A/Xuzhou/1/2013K","A/Xuzhou/1/2013","H7N9","zoon","NCBI",2013-04-25
"180","A/Yangzhou/125/2022O","A/Yangzhou/125/2022","H5N6","zoon","NCBI",2022-02-26
"181","A/Yunnan/0127/2015K","A/Yunnan/0127/2015","H5N6","zoon","NCBI",2015-02-06
"182","A/Yunnan/0129/2017K","A/Yunnan/0129/2017","H7N9","zoon","NCBI",2017-02-09
"183","A/Zhejiang/DTID-ZJU01/2013K_A","A/Zhejiang/DTID-ZJU01/2013","H7N9","zoon","NCBI",2013-04-03
"184","A/Zhejiang/DTID-ZJU01/2013K_B","A/Zhejiang/DTID-ZJU01/2013","H7N9","zoon","NCBI",2013-04-03
"185","A/Zhejiang/HZ1/2013K","A/Zhejiang/HZ1/2013","H7N9","zoon","NCBI",2013-04-15
"186","A/Zhejiang/LS01/2014K","A/Zhejiang/LS01/2014","H7N9","zoon","NCBI",2014-02-08
"187","A/Zhenjiang/1/2013K","A/Zhenjiang/1/2013","H7N9","zoon","NCBI",2013-04-07
"188","A/Zhongshan/201501/2015K","A/Zhongshan/201501/2015","H9N2","zoon","NCBI",2015-02-07
"189","EPI_ISL_192326","A/Anhui/01876/2014","H7N9","zoon","GISAID",2014-03-10
"190","EPI_ISL_192327","A/Anhui/01878/2014","H7N9","zoon","GISAID",2014-04-02
"191","EPI_ISL_192328","A/Anhui/01881/2014","H7N9","zoon","GISAID",2014-04-13
"192","EPI_ISL_192329","A/Anhui/01882/2014","H7N9","zoon","GISAID",2014-04-26
"193","EPI_ISL_192330","A/Anhui/01883/2014","H7N9","zoon","GISAID",2014-04-26
"194","EPI_ISL_192331","A/Anhui/01887/2014","H7N9","zoon","GISAID",2014-05-20
"195","EPI_ISL_141190","A/Anhui/02/2013","H7N9","zoon","GISAID",2013-04-14
"196","EPI_ISL_141191","A/Anhui/03/2013","H7N9","zoon","GISAID",2013-04-21
"197","EPI_ISL_157287","A/Anhui/04/2013","H7N9","zoon","GISAID",2013-04-01
"198","EPI_ISL_192405","A/Anhui/09186/2014","H7N9","zoon","GISAID",2014-02-07
"199","EPI_ISL_192410","A/Anhui/09188/2014","H7N9","zoon","GISAID",2014-02-07
"200","EPI_ISL_192407","A/Anhui/09212/2014","H7N9","zoon","GISAID",2014-02-13
"201","EPI_ISL_192406","A/Anhui/09214/2014","H7N9","zoon","GISAID",2014-02-15
"202","EPI_ISL_190414","A/Anhui/1-BALF_RG1/2013","H7N9","zoon","GISAID",2013-01-01
"203","EPI_ISL_190399","A/Anhui/1-BALF_RG17/2013","H7N9","zoon","GISAID",2013-01-01
"204","EPI_ISL_190400","A/Anhui/1-BALF_RG18/2013","H7N9","zoon","GISAID",2013-01-01
"205","EPI_ISL_190401","A/Anhui/1-BALF_RG19/2013","H7N9","zoon","GISAID",2013-01-01
"206","EPI_ISL_190403","A/Anhui/1-BALF_RG20/2013","H7N9","zoon","GISAID",2013-01-01
"207","EPI_ISL_190404","A/Anhui/1-BALF_RG29/2013","H7N9","zoon","GISAID",2013-01-01
"208","EPI_ISL_190413","A/Anhui/1-BALF_RG3/2013","H7N9","zoon","GISAID",2013-01-01
"209","EPI_ISL_190416","A/Anhui/1-BALF_RG4/2013","H7N9","zoon","GISAID",2013-01-01
"210","EPI_ISL_190407","A/Anhui/1-BALF_RG40/2013","H7N9","zoon","GISAID",2013-01-01
"211","EPI_ISL_190410","A/Anhui/1-BALF_RG42/2013","H7N9","zoon","GISAID",2013-01-01
"212","EPI_ISL_190408","A/Anhui/1-BALF_RG43/2013","H7N9","zoon","GISAID",2013-01-01
"213","EPI_ISL_190411","A/Anhui/1-BALF_RG44/2013","H7N9","zoon","GISAID",2013-01-01
"214","EPI_ISL_190417","A/Anhui/1-BALF_RG5/2013","H7N9","zoon","GISAID",2013-01-01
"215","EPI_ISL_190395","A/Anhui/1-BALF_RG6/2013","H7N9","zoon","GISAID",2013-01-01
"216","EPI_ISL_190397","A/Anhui/1-BALF_RG8/2013","H7N9","zoon","GISAID",2013-01-01
"217","EPI_ISL_190398","A/Anhui/1-BALF_RG9/2013","H7N9","zoon","GISAID",2013-01-01
"218","EPI_ISL_190392","A/Anhui/1-JCVI1_RG1/2013","H7N9","zoon","GISAID",2013-01-01
"219","EPI_ISL_190393","A/Anhui/1-JCVI1_RG2/2013","H7N9","zoon","GISAID",2013-01-01
"220","EPI_ISL_190394","A/Anhui/1-JCVI1_RG3/2013","H7N9","zoon","GISAID",2013-01-01
"221","EPI_ISL_194250","A/Anhui/1-YK_RG01/2013","H7N9","zoon","GISAID",2013-01-01
"222","EPI_ISL_194256","A/Anhui/1-YK_RG05/2013","H7N9","zoon","GISAID",2013-01-01
"223","EPI_ISL_194347","A/Anhui/1-YK_RG100/2013","H7N9","zoon","GISAID",2013-01-01
"224","EPI_ISL_194349","A/Anhui/1-YK_RG102/2013","H7N9","zoon","GISAID",2013-01-01
"225","EPI_ISL_194372","A/Anhui/1-YK_RG105/2013","H7N9","zoon","GISAID",2013-01-01
"226","EPI_ISL_194353","A/Anhui/1-YK_RG106/2013","H7N9","zoon","GISAID",2013-01-01
"227","EPI_ISL_194361","A/Anhui/1-YK_RG114/2013","H7N9","zoon","GISAID",2013-01-01
"228","EPI_ISL_194259","A/Anhui/1-YK_RG12/2013","H7N9","zoon","GISAID",2013-01-01
"229","EPI_ISL_194370","A/Anhui/1-YK_RG123/2013","H7N9","zoon","GISAID",2013-01-01
"230","EPI_ISL_194371","A/Anhui/1-YK_RG124/2013","H7N9","zoon","GISAID",2013-01-01
"231","EPI_ISL_194376","A/Anhui/1-YK_RG129/2013","H7N9","zoon","GISAID",2013-01-01
"232","EPI_ISL_194377","A/Anhui/1-YK_RG130/2013","H7N9","zoon","GISAID",2013-01-01
"233","EPI_ISL_194378","A/Anhui/1-YK_RG131/2013","H7N9","zoon","GISAID",2013-01-01
"234","EPI_ISL_194379","A/Anhui/1-YK_RG132/2013","H7N9","zoon","GISAID",2013-01-01
"235","EPI_ISL_194383","A/Anhui/1-YK_RG134/2013","H7N9","zoon","GISAID",2013-01-01
"236","EPI_ISL_194388","A/Anhui/1-YK_RG141/2013","H7N9","zoon","GISAID",2013-01-01
"237","EPI_ISL_194398","A/Anhui/1-YK_RG151/2013","H7N9","zoon","GISAID",2013-01-01
"238","EPI_ISL_194402","A/Anhui/1-YK_RG155/2013","H7N9","zoon","GISAID",2013-01-01
"239","EPI_ISL_194403","A/Anhui/1-YK_RG156/2013","H7N9","zoon","GISAID",2013-01-01
"240","EPI_ISL_194409","A/Anhui/1-YK_RG162/2013","H7N9","zoon","GISAID",2013-01-01
"241","EPI_ISL_194410","A/Anhui/1-YK_RG163/2013","H7N9","zoon","GISAID",2013-01-01
"242","EPI_ISL_194415","A/Anhui/1-YK_RG168/2013","H7N9","zoon","GISAID",2013-01-01
"243","EPI_ISL_194416","A/Anhui/1-YK_RG169/2013","H7N9","zoon","GISAID",2013-01-01
"244","EPI_ISL_194417","A/Anhui/1-YK_RG170/2013","H7N9","zoon","GISAID",2013-01-01
"245","EPI_ISL_194421","A/Anhui/1-YK_RG174/2013","H7N9","zoon","GISAID",2013-01-01
"246","EPI_ISL_194422","A/Anhui/1-YK_RG176/2013","H7N9","zoon","GISAID",2013-01-01
"247","EPI_ISL_194425","A/Anhui/1-YK_RG179/2013","H7N9","zoon","GISAID",2013-01-01
"248","EPI_ISL_194432","A/Anhui/1-YK_RG186/2013","H7N9","zoon","GISAID",2013-01-01
"249","EPI_ISL_194438","A/Anhui/1-YK_RG192/2013","H7N9","zoon","GISAID",2013-01-01
"250","EPI_ISL_194440","A/Anhui/1-YK_RG194/2013","H7N9","zoon","GISAID",2013-01-01
"251","EPI_ISL_194278","A/Anhui/1-YK_RG31/2013","H7N9","zoon","GISAID",2013-01-01
"252","EPI_ISL_194283","A/Anhui/1-YK_RG36/2013","H7N9","zoon","GISAID",2013-01-01
"253","EPI_ISL_194286","A/Anhui/1-YK_RG39/2013","H7N9","zoon","GISAID",2013-01-01
"254","EPI_ISL_194288","A/Anhui/1-YK_RG41/2013","H7N9","zoon","GISAID",2013-01-01
"255","EPI_ISL_194291","A/Anhui/1-YK_RG44/2013","H7N9","zoon","GISAID",2013-01-01
