"gid","1","2","3","4","5","6","7","8","code"
"A/American_black_duck/Illinois/08OS2688/2008C",23,29,10,13,30,27,5,514,"23-29-10-13-30-27-5-514"
"A/American_black_duck/Illinois/4119/2009C",67,8,152,1162,391,172,32,60,"67-8-152-1162-391-172-32-60"
"A/American_black_duck/Maine/44411/532/2008K",68,19,19,42,71,1022,5,60,"68-19-19-42-71-1022-5-60"
"A/American_black_duck/Maine/ME-Y17-170/2017M",24,1060,12,15,48,10,47,890,"24-1060-12-15-48-10-47-890"
"A/American_black_duck/Maine/ME-Y17-227/2017M",1287,13,10,152,1689,32,287,1100,"1287-13-10-152-1689-32-287-1100"
"A/American_black_duck/Maine/ME-Y17-326/2017M",90,98,393,75,48,19,3,7,"90-98-393-75-48-19-3-7"
"A/American_black_duck/Maine/ME-Y17-331/2017M",90,98,393,75,48,19,15,7,"90-98-393-75-48-19-15-7"
"A/American_black_duck/Maine/ME-Y17-335/2017M",56,112,10,44,2281,32,3,4,"56-112-10-44-2281-32-3-4"
"A/American_black_duck/Maine/UGAI15-7694/2015M",508,230,279,42,100,27,3,2,"508-230-279-42-100-27-3-2"
"A/American_black_duck/Maine/UGAI15-7795/2015M",71,565,19,42,100,27,356,60,"71-565-19-42-100-27-356-60"
"A/American_black_duck/Maine/UGAI16-5397/2016M",90,61,16,42,816,10,111,7,"90-61-16-42-816-10-111-7"
"A/American_black_duck/Maine/UGAI16-5431/2016M",26,63,12,152,1,32,15,782,"26-63-12-152-1-32-15-782"
"A/American_black_duck/Maine/UGAI16-5433/2016M",24,1060,12,15,48,10,47,4,"24-1060-12-15-48-10-47-4"
"A/American_black_duck/Maine/UGAI16-5451/2016M",15,229,765,44,364,32,111,2,"15-229-765-44-364-32-111-2"
"A/American_black_duck/Maine/UGAI16-5454/2016M",26,229,4,10,364,32,47,33,"26-229-4-10-364-32-47-33"
"A/American_black_duck/Maine/UGAI16-5466/2016M",56,112,109,75,291,30,3,2,"56-112-109-75-291-30-3-2"
"A/American_black_duck/Maine/UGAI16-5479/2016M",1383,13,10,67,202,32,3,7,"1383-13-10-67-202-32-3-7"
"A/American_black_duck/Maine/UGAI16-5487/2016M",56,112,109,75,291,30,3,2,"56-112-109-75-291-30-3-2"
"A/American_black_duck/Maine/UGAI16-5507/2016M",90,13,10,67,202,32,3,7,"90-13-10-67-202-32-3-7"
"A/American_black_duck/Maine/UGAI16-5510/2016M",90,13,10,44,202,32,3,7,"90-13-10-44-202-32-3-7"
"A/American_black_duck/Maine/UGAI16-5511/2016M",90,13,10,67,202,32,3,7,"90-13-10-67-202-32-3-7"
"A/American_black_duck/Maine/UGAI16-5512/2016M",90,13,10,67,202,32,3,7,"90-13-10-67-202-32-3-7"
"A/American_black_duck/Maryland/07OS2482/2007C",73,8,23,16,371,1023,5,153,"73-8-23-16-371-1023-5-153"
"A/American_black_duck/Maryland/08OS1725/2008C",21,8,14,1163,71,1024,5,214,"21-8-14-1163-71-1024-5-214"
"A/American_black_duck/Maryland/11OS3898/2012C",43,13,24,38,12,22,3,4,"43-13-24-38-12-22-3-4"
"A/American_black_duck/Maryland/11OS3978/2012C",43,13,24,38,12,22,3,4,"43-13-24-38-12-22-3-4"
"A/American_black_duck/Maryland/13OS2956/2013C",21,24,16,24,167,30,3,396,"21-24-16-24-167-30-3-396"
"A/American_black_duck/Maryland/16OS2661/2017M",163,153,12,60,22,16,3,4,"163-153-12-60-22-16-3-4"
"A/American_black_duck/Maryland/UGAI15-7883/2015M",26,13,12,20,1,2,15,396,"26-13-12-20-1-2-15-396"
"A/American_black_duck/Maryland/UGAI15-7932/2015M",15,13,4,511,57,30,182,26,"15-13-4-511-57-30-182-26"
"A/American_black_duck/Maryland/UGAI15-8195/2015M",24,1252,12,658,20,32,24,2,"24-1252-12-658-20-32-24-2"
"A/American_black_duck/Maryland/UGAI16-5588/2016M",15,13,4,20,1,2,3,2,"15-13-4-20-1-2-3-2"
"A/American_black_duck/Maryland/UGAI16-5589/2016M",86,149,12,20,34,2,15,24,"86-149-12-20-34-2-15-24"
"A/American_black_duck/NB/2538/2007E",23,252,11,30,76,16,5,33,"23-252-11-30-76-16-5-33"
"A/American_black_duck/New_Brunswick/00321/2010C",2059,8,192,20,30,44,69,7,"2059-8-192-20-30-44-69-7"
"A/American_black_duck/New_Brunswick/00322/2010C",43,32,9,42,27,38,5,10,"43-32-9-42-27-38-5-10"
"A/American_black_duck/New_Brunswick/00326/2010C",139,8,11,20,30,44,69,7,"139-8-11-20-30-44-69-7"
"A/American_black_duck/New_Brunswick/00328/2010C",139,8,11,20,30,44,69,10,"139-8-11-20-30-44-69-10"
"A/American_black_duck/New_Brunswick/00344/2010C",21,32,24,30,32,163,5,7,"21-32-24-30-32-163-5-7"
"A/American_black_duck/New_Brunswick/00385/2010C",139,8,11,20,30,44,69,7,"139-8-11-20-30-44-69-7"
"A/American_black_duck/New_Brunswick/00410/2010C",139,8,11,20,30,44,69,7,"139-8-11-20-30-44-69-7"
"A/American_black_duck/New_Brunswick/00424/2010C",43,32,9,42,28,38,5,7,"43-32-9-42-28-38-5-7"
"A/American_black_duck/New_Brunswick/00425/2010C",43,32,9,42,28,38,5,7,"43-32-9-42-28-38-5-7"
"A/American_black_duck/New_Brunswick/00454/2010C",43,32,9,42,28,38,5,10,"43-32-9-42-28-38-5-10"
"A/American_black_duck/New_Brunswick/00464/2010C",52,19,9,67,28,32,209,10,"52-19-9-67-28-32-209-10"
"A/American_black_duck/New_Brunswick/00467/2010C",43,32,9,42,28,38,5,10,"43-32-9-42-28-38-5-10"
"A/American_black_duck/New_Brunswick/00468/2010C",52,19,9,67,28,32,13,10,"52-19-9-67-28-32-13-10"
"A/American_black_duck/New_Brunswick/00469/2010C",52,19,9,67,28,32,13,10,"52-19-9-67-28-32-13-10"
"A/American_black_duck/New_Brunswick/00470/2010C",52,19,9,67,28,32,13,10,"52-19-9-67-28-32-13-10"
"A/American_black_duck/New_Brunswick/00471/2010C",52,19,9,981,28,32,13,1188,"52-19-9-981-28-32-13-1188"
"A/American_black_duck/New_Brunswick/00472/2010C",52,19,9,67,28,32,13,10,"52-19-9-67-28-32-13-10"
"A/American_black_duck/New_Brunswick/00473/2010C",2634,2869,9,67,28,32,13,10,"2634-2869-9-67-28-32-13-10"
"A/American_black_duck/New_Brunswick/00477/2010C",52,19,9,737,28,32,13,7,"52-19-9-737-28-32-13-7"
"A/American_black_duck/New_Brunswick/00478/2010C",52,19,9,67,28,32,13,10,"52-19-9-67-28-32-13-10"
"A/American_black_duck/New_Brunswick/00481/2010C",52,19,9,67,28,32,13,10,"52-19-9-67-28-32-13-10"
"A/American_black_duck/New_Brunswick/00484/2010C",52,8,9,42,28,38,5,10,"52-8-9-42-28-38-5-10"
"A/American_black_duck/New_Brunswick/00485/2010C",43,8,10,42,28,38,13,10,"43-8-10-42-28-38-13-10"
"A/American_black_duck/New_Brunswick/00487/2010C",52,19,10,67,28,38,13,10,"52-19-10-67-28-38-13-10"
"A/American_black_duck/New_Brunswick/00499/2010C",52,19,9,44,28,32,13,10,"52-19-9-44-28-32-13-10"
"A/American_black_duck/New_Brunswick/00500/2010C",43,8,9,42,28,38,5,10,"43-8-9-42-28-38-5-10"
"A/American_black_duck/New_Brunswick/00520/2010C",52,19,9,44,28,32,13,10,"52-19-9-44-28-32-13-10"
"A/American_black_duck/New_Brunswick/00522/2010C",43,32,9,42,28,38,5,10,"43-32-9-42-28-38-5-10"
"A/American_black_duck/New_Brunswick/00523/2010C",52,19,9,67,28,32,13,10,"52-19-9-67-28-32-13-10"
"A/American_black_duck/New_Brunswick/00525/2010C",43,32,9,42,28,38,5,10,"43-32-9-42-28-38-5-10"
"A/American_black_duck/New_Brunswick/00558/2010C",43,8,9,42,28,38,5,10,"43-8-9-42-28-38-5-10"
"A/American_black_duck/New_Brunswick/00587/2010C",52,19,9,67,28,32,13,10,"52-19-9-67-28-32-13-10"
"A/American_black_duck/New_Brunswick/00608/2010C",43,32,9,42,28,38,5,10,"43-32-9-42-28-38-5-10"
"A/American_black_duck/New_Brunswick/00612/2010C",52,19,14,737,28,163,13,10,"52-19-14-737-28-163-13-10"
"A/American_black_duck/New_Brunswick/00614/2010C",43,8,9,42,28,38,13,10,"43-8-9-42-28-38-13-10"
"A/American_black_duck/New_Brunswick/00615/2010C",43,8,9,67,28,38,13,10,"43-8-9-67-28-38-13-10"
"A/American_black_duck/New_Brunswick/00616/2010C",43,8,9,42,28,38,5,10,"43-8-9-42-28-38-5-10"
"A/American_black_duck/New_Brunswick/00618/2010C",52,8,9,42,28,32,13,10,"52-8-9-42-28-32-13-10"
"A/American_black_duck/New_Brunswick/00619/2010C",52,8,9,42,28,32,13,10,"52-8-9-42-28-32-13-10"
"A/American_black_duck/New_Brunswick/00620/2010C",52,8,9,42,28,32,13,10,"52-8-9-42-28-32-13-10"
"A/American_black_duck/New_Brunswick/00622/2010C",52,8,9,42,28,32,13,10,"52-8-9-42-28-32-13-10"
"A/American_black_duck/New_Brunswick/00623/2010C",43,8,9,67,28,38,5,10,"43-8-9-67-28-38-5-10"
"A/American_black_duck/New_Brunswick/00624/2010C",52,8,9,42,28,32,13,10,"52-8-9-42-28-32-13-10"
"A/American_black_duck/New_Brunswick/00687/2010C",43,34,9,42,83,38,5,13,"43-34-9-42-83-38-5-13"
"A/American_black_duck/New_Brunswick/00867/2010C",1070,130,269,13,51,27,3,2,"1070-130-269-13-51-27-3-2"
"A/American_black_duck/New_Brunswick/00878/2010C",292,194,10,44,15,861,5,10,"292-194-10-44-15-861-5-10"
"A/American_black_duck/New_Brunswick/00886/2010C",292,194,10,44,15,1044,5,10,"292-194-10-44-15-1044-5-10"
"A/American_black_duck/New_Brunswick/00906/2010C",120,34,175,1064,20,163,19,33,"120-34-175-1064-20-163-19-33"
"A/American_black_duck/New_Brunswick/00909/2010C",120,34,11,1406,20,163,19,33,"120-34-11-1406-20-163-19-33"
"A/American_black_duck/New_Brunswick/00924/2010C",120,34,665,608,20,163,19,33,"120-34-665-608-20-163-19-33"
"A/American_black_duck/New_Brunswick/00949/2010C",52,56,1042,658,723,32,3,772,"52-56-1042-658-723-32-3-772"
"A/American_black_duck/New_Brunswick/00953/2010C",21,32,9,42,30,38,5,10,"21-32-9-42-30-38-5-10"
"A/American_black_duck/New_Brunswick/00955/2010C",2635,19,19,67,15,38,3,347,"2635-19-19-67-15-38-3-347"
"A/American_black_duck/New_Brunswick/00971/2010C",120,34,11,608,20,32,19,33,"120-34-11-608-20-32-19-33"
"A/American_black_duck/New_Brunswick/00986/2010C",43,56,605,67,15,32,69,7,"43-56-605-67-15-32-69-7"
"A/American_black_duck/New_Brunswick/00991/2010C",52,8,605,67,15,32,69,7,"52-8-605-67-15-32-69-7"
"A/American_black_duck/New_Brunswick/00998/2010C",17,130,372,141,818,32,3,10,"17-130-372-141-818-32-3-10"
"A/American_black_duck/New_Brunswick/01989/2007C",21,19,318,92,371,22,13,1179,"21-19-318-92-371-22-13-1179"
"A/American_black_duck/New_Brunswick/02375/2007C",91,2945,97,63,98,10,5,19,"91-2945-97-63-98-10-5-19"
"A/American_black_duck/New_Brunswick/02396/2007C",91,46,131,63,98,77,5,19,"91-46-131-63-98-77-5-19"
"A/American_black_duck/New_Brunswick/02485/2007C",445,46,14,133,76,75,402,33,"445-46-14-133-76-75-402-33"
"A/American_black_duck/New_Brunswick/02490/2007C",1149,19,34,30,616,16,13,10,"1149-19-34-30-616-16-13-10"
"A/American_black_duck/New_Brunswick/02491/2007C",23,29,39,78,391,10,5,7,"23-29-39-78-391-10-5-7"
"A/American_black_duck/New_Brunswick/02493/2007C",23,19,34,30,28,16,13,10,"23-19-34-30-28-16-13-10"
"A/American_black_duck/New_Brunswick/02496/2007C",235,29,39,15,391,10,5,7,"235-29-39-15-391-10-5-7"
"A/American_black_duck/New_Brunswick/02497/2007C",235,29,39,15,391,10,5,7,"235-29-39-15-391-10-5-7"
"A/American_black_duck/New_Brunswick/02502/2007C",235,29,39,15,391,10,5,7,"235-29-39-15-391-10-5-7"
"A/American_black_duck/New_Brunswick/02507/2007C",23,29,39,15,391,10,5,7,"23-29-39-15-391-10-5-7"
"A/American_black_duck/New_Brunswick/02519/2007C",2,46,14,133,76,75,402,33,"2-46-14-133-76-75-402-33"
"A/American_black_duck/New_Brunswick/02525/2007C",23,78,10,53,808,10,5,10,"23-78-10-53-808-10-5-10"
"A/American_black_duck/New_Brunswick/02527/2007C",223,8,14,63,98,32,13,19,"223-8-14-63-98-32-13-19"
"A/American_black_duck/New_Brunswick/02528/2007C",223,8,14,63,98,32,13,19,"223-8-14-63-98-32-13-19"
"A/American_black_duck/New_Brunswick/02531/2007C",223,2946,14,63,98,32,13,19,"223-2946-14-63-98-32-13-19"
"A/American_black_duck/New_Brunswick/02549/2007C",23,2947,39,15,391,10,5,7,"23-2947-39-15-391-10-5-7"
"A/American_black_duck/New_Brunswick/02629/2007C",23,78,10,53,27,10,5,10,"23-78-10-53-27-10-5-10"
"A/American_black_duck/New_Brunswick/02646/2007C",91,46,146,63,30,77,3,60,"91-46-146-63-30-77-3-60"
"A/American_black_duck/New_Brunswick/02649/2007C",21,8,146,78,808,77,3,60,"21-8-146-78-808-77-3-60"
"A/American_black_duck/New_Brunswick/02650/2007C",23,19,10,53,28,550,5,10,"23-19-10-53-28-550-5-10"
"A/American_black_duck/New_Brunswick/02651/2007C",23,19,10,53,28,19,5,10,"23-19-10-53-28-19-5-10"
"A/American_black_duck/New_Brunswick/02653/2007C",130,8,14,63,76,32,496,88,"130-8-14-63-76-32-496-88"
"A/American_black_duck/New_Brunswick/02656/2007C",91,8,14,249,71,270,5,33,"91-8-14-249-71-270-5-33"
"A/American_black_duck/New_Brunswick/02659/2007C",223,29,23,63,76,32,402,33,"223-29-23-63-76-32-402-33"
"A/American_black_duck/New_Brunswick/02719/2007C",91,46,131,63,98,77,271,19,"91-46-131-63-98-77-271-19"
"A/American_black_duck/New_Brunswick/02722/2007C",91,46,131,63,98,77,5,19,"91-46-131-63-98-77-5-19"
"A/American_black_duck/New_Brunswick/02725/2007C",23,22,10,15,14,10,5,153,"23-22-10-15-14-10-5-153"
"A/American_black_duck/New_Brunswick/02726/2007C",91,46,131,63,98,77,5,19,"91-46-131-63-98-77-5-19"
"A/American_black_duck/New_Brunswick/02727/2007C",91,46,131,63,98,77,5,19,"91-46-131-63-98-77-5-19"
"A/American_black_duck/New_Brunswick/02728/2007C",91,46,131,63,98,77,5,19,"91-46-131-63-98-77-5-19"
"A/American_black_duck/New_Brunswick/02729/2007C",91,46,131,63,98,77,5,19,"91-46-131-63-98-77-5-19"
"A/American_black_duck/New_Brunswick/02749/2007C",23,46,65,537,14,23,5,39,"23-46-65-537-14-23-5-39"
"A/American_black_duck/New_Brunswick/03395/2009C",21,252,10,42,71,38,914,10,"21-252-10-42-71-38-914-10"
"A/American_black_duck/New_Brunswick/03398/2009C",21,252,10,42,71,38,13,10,"21-252-10-42-71-38-13-10"
"A/American_black_duck/New_Brunswick/03408/2009C",21,252,10,42,71,38,13,10,"21-252-10-42-71-38-13-10"
"A/American_black_duck/New_Brunswick/03451/2009C",43,1015,10,249,30,54,5,10,"43-1015-10-249-30-54-5-10"
"A/American_black_duck/New_Brunswick/03495/2009C",891,46,34,78,28,10,5,497,"891-46-34-78-28-10-5-497"
"A/American_black_duck/New_Brunswick/03509/2009C",21,252,10,42,71,38,13,10,"21-252-10-42-71-38-13-10"
"A/American_black_duck/New_Brunswick/03511/2009C",17,19,366,44,1677,6,5,2,"17-19-366-44-1677-6-5-2"
"A/American_black_duck/New_Brunswick/03530/2009C",68,2948,10,44,30,6,5,33,"68-2948-10-44-30-6-5-33"
"A/American_black_duck/New_Brunswick/03531/2009C",68,2949,10,44,30,6,5,33,"68-2949-10-44-30-6-5-33"
"A/American_black_duck/New_Brunswick/03532/2009C",68,2950,10,44,30,6,5,33,"68-2950-10-44-30-6-5-33"
"A/American_black_duck/New_Brunswick/03534/2009C",3605,2951,14,44,1677,6,5,33,"3605-2951-14-44-1677-6-5-33"
"A/American_black_duck/New_Brunswick/03551/2009C",3607,2952,14,44,28,6,5,2,"3607-2952-14-44-28-6-5-2"
"A/American_black_duck/New_Brunswick/03552/2009C",17,19,14,44,28,6,5,2,"17-19-14-44-28-6-5-2"
"A/American_black_duck/New_Brunswick/03553/2009C",17,19,14,44,28,6,5,2,"17-19-14-44-28-6-5-2"
"A/American_black_duck/New_Brunswick/03554/2009C",3608,19,14,44,28,6,5,2,"3608-19-14-44-28-6-5-2"
"A/American_black_duck/New_Brunswick/03556/2009C",17,19,14,44,28,6,5,2,"17-19-14-44-28-6-5-2"
"A/American_black_duck/New_Brunswick/03559/2009C",3609,2953,14,44,28,6,5,2,"3609-2953-14-44-28-6-5-2"
"A/American_black_duck/New_Brunswick/04388/2007C",23,19,34,30,28,16,13,10,"23-19-34-30-28-16-13-10"
"A/American_black_duck/New_Brunswick/04395/2007C",1149,19,14,12,89,17,34,33,"1149-19-14-12-89-17-34-33"
"A/American_black_duck/New_Brunswick/04399/2007C",3610,19,14,12,20,17,5,33,"3610-19-14-12-20-17-5-33"
"A/American_black_duck/New_Brunswick/04484/2007C",23,46,65,15,14,23,5,39,"23-46-65-15-14-23-5-39"
"A/American_black_duck/New_Brunswick/19347/2006C",73,46,39,63,16,100,5,2,"73-46-39-63-16-100-5-2"
"A/American_black_duck/New_Brunswick/19497/2006C",23,22,8,63,28,77,5,10,"23-22-8-63-28-77-5-10"
"A/American_black_duck/New_Brunswick/19502/2006C",23,22,8,63,28,77,5,10,"23-22-8-63-28-77-5-10"
"A/American_black_duck/New_Brunswick/25182/2007C",23,78,11,53,27,77,5,60,"23-78-11-53-27-77-5-60"
"A/American_black_duck/North_Carolina/1321373/2004C",320,72,8,53,28,626,3,10,"320-72-8-53-28-626-3-10"
"A/American_black_duck/Nova_Scotia/00083/2010C",68,8,14,20,51,44,69,33,"68-8-14-20-51-44-69-33"
"A/American_black_duck/Nova_Scotia/00086/2010C",139,8,11,20,30,44,69,7,"139-8-11-20-30-44-69-7"
"A/American_black_duck/Nova_Scotia/00089/2010C",139,8,11,20,30,44,69,7,"139-8-11-20-30-44-69-7"
"A/American_black_duck/Nova_Scotia/00090/2010C",139,8,11,20,30,44,69,7,"139-8-11-20-30-44-69-7"
"A/American_black_duck/Nova_Scotia/00091/2010C",139,8,11,20,30,44,69,7,"139-8-11-20-30-44-69-7"
"A/American_black_duck/Nova_Scotia/00092/2010C",139,8,11,20,30,44,69,7,"139-8-11-20-30-44-69-7"
"A/American_black_duck/Nova_Scotia/00094/2010C",139,8,11,20,30,44,69,7,"139-8-11-20-30-44-69-7"
"A/American_black_duck/Nova_Scotia/00096/2010C",139,8,11,20,30,44,69,7,"139-8-11-20-30-44-69-7"
"A/American_black_duck/Nova_Scotia/00098/2010C",139,8,11,20,30,44,69,7,"139-8-11-20-30-44-69-7"
"A/American_black_duck/Nova_Scotia/00099/2010C",139,8,11,20,30,44,69,7,"139-8-11-20-30-44-69-7"
"A/American_black_duck/Nova_Scotia/02043/2007C",91,8,14,680,1244,172,5,33,"91-8-14-680-1244-172-5-33"
"A/American_black_duck/Nova_Scotia/02213/2007C",73,8,97,15,848,10,5,33,"73-8-97-15-848-10-5-33"
"A/American_black_duck/Nova_Scotia/02317/2007C",223,8,14,63,98,32,13,33,"223-8-14-63-98-32-13-33"
"A/American_black_duck/Nova_Scotia/02319/2007C",223,8,14,63,98,32,13,33,"223-8-14-63-98-32-13-33"
"A/American_black_duck/Nova_Scotia/03273/2009C",21,252,10,42,71,38,945,10,"21-252-10-42-71-38-945-10"
"A/American_black_duck/Ohio/06OS2051/2006M",23,321,11,88,98,996,5,7,"23-321-11-88-98-996-5-7"
"A/American_black_duck/Ohio/12OS5510/2012C",90,24,25,15,871,10,252,13,"90-24-25-15-871-10-252-13"
"A/American_black_duck/Ohio/14OS0557/2014C",24,13,1235,10,57,10,24,2,"24-13-1235-10-57-10-24-2"
"A/American_black_duck/Ohio/16OS0658/2016K",154,95,4,72,48,135,3,930,"154-95-4-72-48-135-3-930"
"A/American_black_duck/Prince_Edward_Island/00672/2010C",43,34,9,42,83,38,5,13,"43-34-9-42-83-38-5-13"
"A/American_black_duck/Prince_Edward_Island/00673/2010C",43,34,9,42,83,38,5,13,"43-34-9-42-83-38-5-13"
"A/American_black_duck/Prince_Edward_Island/00788/2010C",21,32,9,42,30,38,5,10,"21-32-9-42-30-38-5-10"
"A/American_black_duck/Prince_Edward_Island/02661/2007C",223,8,39,63,76,32,5,19,"223-8-39-63-76-32-5-19"
"A/American_black_duck/Prince_Edward_Island/02683/2007C",91,46,131,63,98,77,5,19,"91-46-131-63-98-77-5-19"
"A/American_black_duck/Prince_Edward_Island/02684/2007C",91,46,131,63,98,77,5,19,"91-46-131-63-98-77-5-19"
"A/American_black_duck/Prince_Edward_Island/02685/2007C",223,8,14,63,98,32,13,19,"223-8-14-63-98-32-13-19"
"A/American_black_duck/Prince_Edward_Island/02697/2007C",223,8,14,63,98,32,13,19,"223-8-14-63-98-32-13-19"
"A/American_black_duck/Prince_Edward_Island/02700/2007C",223,8,14,63,98,32,13,19,"223-8-14-63-98-32-13-19"
"A/American_black_duck/Prince_Edward_Island/02708/2007C",223,8,14,63,98,32,13,19,"223-8-14-63-98-32-13-19"
"A/American_black_duck/Wisconsin/10OS3949/2010C",68,1512,16,35,16,10,3,2,"68-1512-16-35-16-10-3-2"
"A/American_black_duck/Wisconsin/11OS3016/2011C",350,34,24,92,53,22,19,4,"350-34-24-92-53-22-19-4"
"A/American_black_duck/Wisconsin/11OS3191/2011C",107,24,16,16,605,22,3,13,"107-24-16-16-605-22-3-13"
"A/American_black_duck/Wisconsin/2542/2009C",21,42,10,44,28,27,3,13,"21-42-10-44-28-27-3-13"
"A/American_coot/California/20181-006/2007C",115,1513,11,12,144,16,75,140,"115-1513-11-12-144-16-75-140"
"A/American_coot/Illinois/3405/2009C",115,358,11,338,144,16,75,140,"115-358-11-338-144-16-75-140"
"A/American_coot/Mississippi/09OS615/2009C",115,358,11,12,144,16,75,140,"115-358-11-12-144-16-75-140"
"A/American_coot/Missouri/15OS6556/2015K",115,224,481,338,144,267,75,326,"115-224-481-338-144-267-75-326"
"A/American_coot/Oregon/20589-007/2007C",115,358,11,222,144,253,75,140,"115-358-11-222-144-253-75-140"
"A/American_green-winged_teal/AH0003731/2015K",42,297,125,35,53,58,22,4,"42-297-125-35-53-58-22-4"
"A/American_green-winged_teal/Alaska/103773/2008K",173,115,17,85,45,15,5,125,"173-115-17-85-45-15-5-125"
"A/American_green-winged_teal/Alaska/103777/2008K",64,35,17,10,45,6,3,7,"64-35-17-10-45-6-3-7"
"A/American_green-winged_teal/Alaska/103781/2008K",174,115,22,29,606,6,3,13,"174-115-22-29-606-6-3-13"
